"","ï..date","Actual.Fed.Funds","taylor","InflationPCE","gdpgap","targetinf","naturalint","laggedfedfunds"
"1",1955-02-15,1.34,"#N/A","#N/A",1.84,2,2,"#N/A"
"2",1955-05-15,1.5,"#N/A","#N/A",2.87,2,2,"1.34"
"3",1955-08-15,1.94,"#N/A","#N/A",3.63,2,2,"1.50"
"4",1955-11-15,2.36,"#N/A","#N/A",3.62,2,2,"1.94"
"5",1956-02-15,2.48,"#N/A","#N/A",2.56,2,2,"2.36"
"6",1956-05-15,2.69,"#N/A","#N/A",2.76,2,2,"2.48"
"7",1956-08-15,2.81,"#N/A","#N/A",2,2,2,"2.69"
"8",1956-11-15,2.93,"#N/A","#N/A",2.96,2,2,"2.81"
"9",1957-02-15,2.93,"#N/A","#N/A",2.86,2,2,"2.93"
"10",1957-05-15,3,"#N/A","#N/A",1.82,2,2,"2.93"
"11",1957-08-15,3.23,"#N/A","#N/A",1.96,2,2,"3.00"
"12",1957-11-15,3.25,"#N/A","#N/A",0.02,2,2,"3.23"
"13",1958-02-15,1.86,"#N/A","#N/A",-3.46,2,2,"3.25"
"14",1958-05-15,0.94,"#N/A","#N/A",-3.72,2,2,"1.86"
"15",1958-08-15,1.32,"#N/A","#N/A",-2.41,2,2,"0.94"
"16",1958-11-15,2.16,"#N/A","#N/A",-1.06,2,2,"1.32"
"17",1959-02-15,2.57,"#N/A","#N/A",-0.08,2,2,"2.16"
"18",1959-05-15,3.08,"#N/A","#N/A",1.23,2,2,"2.57"
"19",1959-08-15,3.58,"#N/A","#N/A",0.36,2,2,"3.08"
"20",1959-11-15,3.99,"#N/A","#N/A",-0.3,2,2,"3.58"
"21",1960-02-15,3.93,"4.64","2.11",0.96,2,2,"3.99"
"22",1960-05-15,3.7,"3.64","1.95",-0.56,2,2,"3.93"
"23",1960-08-15,2.94,"2.98","1.67",-1.05,2,2,"3.70"
"24",1960-11-15,2.3,"1.49","1.42",-3.29,2,2,"2.94"
"25",1961-02-15,2,"1.12","1.28",-3.59,2,2,"2.30"
"26",1961-05-15,1.73,"1.38","1.22",-2.91,2,2,"2.00"
"27",1961-08-15,1.68,"1.90","1.27",-2.02,2,2,"1.73"
"28",1961-11-15,2.4,"2.23","1.18",-1.08,2,2,"1.68"
"29",1962-02-15,2.46,"2.91","1.38",-0.32,2,2,"2.40"
"30",1962-05-15,2.61,"2.94","1.44",-0.44,2,2,"2.46"
"31",1962-08-15,2.85,"2.86","1.33",-0.26,2,2,"2.61"
