"","ï..date","Actual.Fed.Funds","taylor","InflationPCE","gdpgap","targetinf","naturalint","laggedfedfunds"
"1",1960-02-15,3.93,4.64,2.11,0.96,2,2,3.99
"2",1960-05-15,3.7,3.64,1.95,-0.56,2,2,3.93
"3",1960-08-15,2.94,2.98,1.67,-1.05,2,2,3.7
"4",1960-11-15,2.3,1.49,1.42,-3.29,2,2,2.94
"5",1961-02-15,2,1.12,1.28,-3.59,2,2,2.3
"6",1961-05-15,1.73,1.38,1.22,-2.91,2,2,2
"7",1961-08-15,1.68,1.9,1.27,-2.02,2,2,1.73
"8",1961-11-15,2.4,2.23,1.18,-1.08,2,2,1.68
"9",1962-02-15,2.46,2.91,1.38,-0.32,2,2,2.4
"10",1962-05-15,2.61,2.94,1.44,-0.44,2,2,2.46
"11",1962-08-15,2.85,2.86,1.33,-0.26,2,2,2.61
"12",1962-11-15,2.92,2.42,1.28,-0.98,2,2,2.85
"13",1963-02-15,2.97,2.38,1.24,-0.97,2,2,2.92
"14",1963-05-15,2.96,2.39,1.23,-0.92,2,2,2.97
"15",1963-08-15,3.33,3.01,1.28,0.17,2,2,2.96
"16",1963-11-15,3.45,3.26,1.59,-0.25,2,2,3.33
"17",1964-02-15,3.46,3.91,1.68,0.78,2,2,3.45
"18",1964-05-15,3.49,3.8,1.6,0.81,2,2,3.46
"19",1964-08-15,3.46,3.89,1.49,1.3,2,2,3.49
"20",1964-11-15,3.58,3.16,1.26,0.54,2,2,3.46
"21",1965-02-15,3.97,3.76,1.21,1.88,2,2,3.58
"22",1965-05-15,4.08,3.87,1.23,2.07,2,2,3.97
"23",1965-08-15,4.07,4.5,1.26,3.21,2,2,4.08
"24",1965-11-15,4.17,5.23,1.34,4.44,2,2,4.07
"25",1966-02-15,4.56,6.1,1.46,5.81,2,2,4.17
"26",1966-05-15,4.91,6.44,1.97,4.97,2,2,4.56
"27",1966-08-15,5.41,7.06,2.49,4.66,2,2,4.91
"28",1966-11-15,5.56,7.7,3.03,4.31,2,2,5.41
"29",1967-02-15,4.82,7.64,3.09,4.01,2,2,5.56
"30",1967-05-15,3.99,6.85,2.94,2.87,2,2,4.82
"31",1967-08-15,3.89,6.87,3.03,2.65,2,2,3.99
"32",1967-11-15,4.17,6.88,3.18,2.24,2,2,3.89
"33",1968-02-15,4.79,8.24,3.78,3.15,2,2,4.17
