"","date","Actual.Fed.Funds","taylor","InflationPCE","gdpgap","targetinf","naturalint","laggedfedfunds","ogtaylor","smoothtaylor"
"1","2/15/1960",3.93,4.64,2.11,0.96,2,2,3.99,6.575,4.14375
"2","5/15/1960",3.7,3.64,1.95,-0.56,2,2,3.93,6.105,3.85275
"3","8/15/1960",2.94,2.98,1.67,-1.05,2,2,3.7,4.925,3.56275
"4","11/15/1960",2.3,1.49,1.42,-3.29,2,2,2.94,3.91,2.562
"5","2/15/1961",2,1.12,1.28,-3.59,2,2,2.3,3.4,1.9625
"6","5/15/1961",1.73,1.38,1.22,-2.91,2,2,2,3.04,1.805
"7","8/15/1961",1.68,1.9,1.27,-2.02,2,2,1.73,3.065,1.71275
"8","11/15/1961",2.4,2.23,1.18,-1.08,2,2,1.68,3.65,1.8045
"9","2/15/1962",2.46,2.91,1.38,-0.32,2,2,2.4,4.01,2.5455
"10","5/15/1962",2.61,2.94,1.44,-0.44,2,2,2.46,4.25,2.583
"11","8/15/1962",2.85,2.86,1.33,-0.26,2,2,2.61,4.325,2.72925
"12","11/15/1962",2.92,2.42,1.28,-0.98,2,2,2.85,4.32,2.8215
"13","2/15/1963",2.97,2.38,1.24,-0.97,2,2,2.92,4.31,2.8795
"14","5/15/1963",2.96,2.39,1.23,-0.92,2,2,2.97,4.285,2.92875
"15","8/15/1963",3.33,3.01,1.28,0.17,2,2,2.96,4.73,3.0875
"16","11/15/1963",3.45,3.26,1.59,-0.25,2,2,3.33,5.315,3.36225
"17","2/15/1964",3.46,3.91,1.68,0.78,2,2,3.45,5.46,3.6255
"18","5/15/1964",3.49,3.8,1.6,0.81,2,2,3.46,5.37,3.6325
"19","8/15/1964",3.46,3.89,1.49,1.3,2,2,3.49,5.175,3.72325
"20","11/15/1964",3.58,3.16,1.26,0.54,2,2,3.46,4.95,3.5665
"21","2/15/1965",3.97,3.76,1.21,1.88,2,2,3.58,5.265,3.86575
"22","5/15/1965",4.08,3.87,1.23,2.07,2,2,3.97,5.405,4.22725
"23","8/15/1965",4.07,4.5,1.26,3.21,2,2,4.08,5.44,4.494
"24","11/15/1965",4.17,5.23,1.34,4.44,2,2,4.07,5.66,4.676
"25","2/15/1966",4.56,6.1,1.46,5.81,2,2,4.17,6.23,4.9755
"26","5/15/1966",4.91,6.44,1.97,4.97,2,2,4.56,7.345,5.21925
"27","8/15/1966",5.41,7.06,2.49,4.66,2,2,4.91,8.625,5.50925
"28","11/15/1966",5.56,7.7,3.03,4.31,2,2,5.41,9.585,5.92225
"29","2/15/1967",4.82,7.64,3.09,4.01,2,2,5.56,8.935,6.00925
"30","5/15/1967",3.99,6.85,2.94,2.87,2,2,4.82,7.88,5.198
"31","8/15/1967",3.89,6.87,3.03,2.65,2,2,3.99,7.915,4.46625
"32","11/15/1967",4.17,6.88,3.18,2.24,2,2,3.89,8.42,4.331
"33","2/15/1968",4.79,8.24,3.78,3.15,2,2,4.17,9.94,4.7505
"34","5/15/1968",5.98,9.27,4.29,3.67,2,2,4.79,11.895,5.39375
"35","8/15/1968",5.94,9.4,4.5,3.29,2,2,5.98,12.17,6.364
"36","11/15/1968",5.92,9.27,4.67,2.54,2,2,5.94,12.405,6.23025
"37","2/15/1969",6.57,9.43,4.61,3.01,2,2,5.92,12.965,6.27925
"38","5/15/1969",8.33,9.11,4.65,2.26,2,2,6.57,14.785,6.72225
"39","8/15/1969",8.98,8.99,4.69,1.92,2,2,8.33,15.495,8.17025
"40","11/15/1969",8.94,8.28,4.69,0.48,2,2,8.98,15.455,8.50675
"41","2/15/1970",8.57,7.78,4.7,-0.53,2,2,8.94,15.1,8.322
"42","5/15/1970",7.88,7.35,4.63,-1.18,2,2,8.57,14.305,7.90475
"43","8/15/1970",6.7,7.36,4.59,-1.03,2,2,7.88,13.065,7.33775
"44","11/15/1970",5.57,6.84,4.83,-2.81,2,2,6.7,12.295,6.08575
"45","2/15/1971",3.86,8.06,5,-0.9,2,2,5.57,10.84,5.4245
"46","5/15/1971",4.56,7.99,5.02,-1.07,2,2,3.86,11.57,3.947
"47","8/15/1971",5.47,7.77,4.84,-0.97,2,2,4.56,12.21,4.5435
"48","11/15/1971",4.75,6.24,3.97,-1.44,2,2,5.47,10.185,5.18125
"49","2/15/1972",3.54,6.32,3.66,-0.35,2,2,4.75,8.51,4.7095
"50","5/15/1972",4.3,6.37,3.18,1.18,2,2,3.54,8.55,3.8745
"51","8/15/1972",4.74,6.18,2.99,1.4,2,2,4.3,8.705,4.53925
"52","11/15/1972",5.14,6.74,3.05,2.33,2,2,4.74,9.195,5.05725
"53","2/15/1973",6.54,7.2,2.78,4.05,2,2,5.14,10.19,5.635
"54","5/15/1973",7.82,8.4,3.48,4.34,2,2,6.54,12.52,6.921
"55","8/15/1973",10.56,8.58,4.07,2.93,2,2,7.82,16.145,7.84175
"56","11/15/1973",10,9.81,4.86,3.02,2,2,10.56,16.77,10.2435
"57","2/15/1974",9.32,10.51,5.93,1.24,2,2,10,17.695,9.58075
"58","5/15/1974",11.25,11.92,7.1,0.55,2,2,9.32,21.38,8.987
"59","8/15/1974",12.09,13.43,8.72,-1.3,2,2,11.25,24.65,10.4715
"60","11/15/1974",9.35,14.48,9.84,-2.57,2,2,12.09,23.59,11.079
"61","2/15/1975",6.3,13.85,10.1,-4.6,2,2,9.35,20.93,8.465
"62","5/15/1975",5.42,12.24,9.07,-4.72,2,2,6.3,18.505,5.77725
"63","8/15/1975",6.16,10.5,7.63,-3.88,2,2,5.42,17.085,5.04725
"64","11/15/1975",5.41,9.48,6.77,-3.36,2,2,6.16,15.045,5.68975
"65","2/15/1976",4.83,9.5,6.32,-1.95,2,2,5.41,13.79,5.23
"66","5/15/1976",5.2,8.98,5.98,-1.99,2,2,4.83,13.65,4.7055
"67","8/15/1976",5.28,8.97,6.04,-2.2,2,2,5.2,13.82,4.993
"68","11/15/1976",4.87,8.84,5.98,-2.25,2,2,5.28,13.32,5.049
"69","2/15/1977",4.66,9.29,6.15,-1.88,2,2,4.87,13.365,4.76875
"70","5/15/1977",5.16,10.35,6.49,-0.78,2,2,4.66,14.375,4.78075
"71","8/15/1977",5.82,10.99,6.6,0.18,2,2,5.16,15.2,5.358
"72","11/15/1977",6.51,10.4,6.48,-0.65,2,2,5.82,15.71,5.7855
"73","2/15/1978",6.76,9.94,6.35,-1.17,2,2,6.51,15.765,6.28425
"74","5/15/1978",7.28,11.7,6.56,1.73,2,2,6.76,16.6,6.9475
"75","8/15/1978",8.1,11.84,6.61,1.84,2,2,7.28,17.495,7.40975
"76","11/15/1978",9.58,12.61,6.97,2.31,2,2,8.1,19.515,8.20425
"77","2/15/1979",10.07,11.96,6.77,1.62,2,2,9.58,19.705,9.34375
